"IN","av","count","class"
289,63.04,7,1
1590,24.24,2,1
96,25.4761111111111,18,1
227,56.0388888888889,27,1
561,71.6933333333333,6,1
1166,37.535,2,1
1706,60,1,1
12,60,1,1
52,30.0712,25,1
53,116.285,48,1
61,25.4522222222222,9,1
106,168.61,1,1
121,35.5472727272727,11,1
127,115.645909090909,44,1
140,78.315,2,1
142,71.2345454545455,22,1
144,136.25,1,1
160,20.585,2,1
168,67.455,2,1
202,6.94,1,1
262,19.68,1,1
273,48.28,2,1
300,53.6088888888889,18,1
339,82.5834482758621,29,1
343,127.86,3,1
366,36.88,2,1
391,15.92375,16,1
413,69.7125,4,1
419,53.0465,20,1
446,47.49,1,1
469,60,1,1
473,59.8766666666667,3,1
497,68.5076923076923,13,1
539,84.0741666666667,12,1
547,115.33,1,1
586,75.3108823529412,34,1
601,89.7075,4,1
605,61.1955555555556,27,1
619,82.9733333333333,3,1
628,38.85,4,1
631,33.21,1,1
678,54.88,1,1
687,32.3864,25,1
690,24.6417647058824,17,1
702,54.762,10,1
736,79.325,2,1
753,48.895,2,1
761,91.41,18,1
764,43.2,2,1
771,103.09875,8,1
777,27.0630769230769,13,1
787,50.4816666666667,6,1
797,60,2,1
816,82.4853846153846,26,1
840,62.133125,32,1
852,133.296666666667,3,1
866,48.567,10,1
938,58.03,2,1
946,34.4575,4,1
948,139.82,1,1
971,116.1375,4,1
976,7.21,1,1
994,60,3,1
1033,92.1622727272727,44,1
1046,42.7094594594595,37,1
1087,154.855,2,1
1123,48.0966666666667,3,1
1191,64.5008333333333,24,1
1201,62.125,2,1
1239,60,1,1
1290,92.09,1,1
1335,86.1575,4,1
1336,97.0617073170732,41,1
1337,51.295,2,1
1372,52.6420833333333,24,1
1377,60,1,1
1391,77.0226086956522,23,1
1393,60,4,1
1399,90.7523809523809,21,1
1404,78.5973913043478,23,1
1407,52.9196,25,1
1412,59.304,10,1
1422,62.11,2,1
1436,60.09,1,1
1461,95.8375,4,1
1486,67.5686666666667,15,1
1540,40.3681818181818,11,1
1627,41.731,20,1
1649,27.3475,8,1
1703,80.543,10,1
1705,57.41,3,1
1713,56.6328571428571,28,1
1715,136.12,1,1
1,51.775,14,1
2,76.631,10,1
5,65.7852941176471,17,1
6,49.0966666666667,9,1
7,52.236,5,1
13,51.4309523809524,21,1
14,41.1081818181818,11,1
15,73.6446428571429,28,1
16,37.73,1,1
19,66.06,1,1
21,83.094,10,1
22,67.1095454545455,22,1
23,66.9638461538461,13,1
24,63.6288888888889,9,1
25,52.93,2,1
29,42.502,10,1
30,24.3708,25,1
31,37.918,5,1
34,49.2866666666667,3,1
35,74.8014285714286,14,1
37,41.91,3,1
41,99.36,1,1
43,57.46,20,1
48,89.55,4,1
54,62.33,8,1
57,31.88,1,1
60,57.7728571428571,7,1
62,30.6808333333333,24,1
63,100.122222222222,9,1
66,67.305,4,1
67,48.96,1,1
71,66.475,2,1
72,60,1,1
73,82.9056756756757,37,1
75,23.42,3,1
76,63.506,5,1
78,77.156,10,1
83,117.88,1,1
85,60,3,1
86,95.02125,8,1
89,49.5628571428571,14,1
90,116.218684210526,76,1
94,23.276,20,1
100,55.2133333333333,3,1
102,55,7,1
103,107.17,3,1
104,26.3031578947368,19,1
105,60,1,1
109,137,1,1
111,26.5885714285714,14,1
114,63.148,5,1
116,60,1,1
117,33.642,10,1
118,52.8766666666667,6,1
122,42.52,16,1
124,60,1,1
129,15.27,1,1
134,75.7528571428571,7,1
135,86.67,1,1
139,114.43,2,1
145,55.6054545454545,22,1
146,62.985,18,1
148,36.05,3,1
149,105.633333333333,3,1
150,11.1155555555556,9,1
153,60,1,1
159,77.26,3,1
161,112.43,1,1
162,59.4525,4,1
163,62.0633333333333,3,1
164,54.6416666666667,6,1
166,60,1,1
169,48.4225,16,1
174,9.99333333333333,9,1
177,103.528,5,1
178,37.1282142857143,28,1
180,68.9014285714286,7,1
182,113.633333333333,3,1
189,35.8525925925926,27,1
191,129.963333333333,3,1
194,89.537619047619,21,1
198,60,1,1
200,76.6047058823529,17,1
201,60,1,1
203,80.215,2,1
208,50.382,5,1
211,2.76,1,1
214,45.6592857142857,28,1
216,70.768,5,1
217,71.8454285714286,35,1
220,68.0056,25,1
221,37.3164705882353,17,1
222,60,1,1
223,39.82,2,1
224,73.5336666666667,30,1
226,62.87375,16,1
229,91.605,6,1
232,93.929,20,1
233,67.19,2,1
235,56.63,1,1
236,95.02,1,1
237,59.4372222222222,18,1
238,60,1,1
239,70.92,3,1
241,50.77125,8,1
242,60,3,1
245,47.3,2,1
246,48.62,1,1
247,66.01,1,1
248,60,1,1
251,96.4526666666667,15,1
253,34.9505263157895,19,1
256,110.51,13,1
257,57.96875,8,1
258,80.4093333333333,15,1
266,15.07,1,1
268,53.36,3,1
270,94.9233333333333,3,1
274,60,1,1
279,32.24,2,1
280,46.83,1,1
283,60,1,1
286,33.5823076923077,13,1
288,74.9605263157895,19,1
290,52.89,17,1
293,31.87625,16,1
294,75.8533333333333,3,1
297,60.9966666666667,3,1
298,83.2614285714286,7,1
299,69.311,20,1
302,28.8748484848485,33,1
303,74.5614285714286,7,1
305,232.28,1,1
307,26.02,1,1
310,59.9983333333333,12,1
311,15.37,1,1
312,91.615,14,1
317,79.1512,25,1
321,30.19,1,1
322,94.1325,4,1
328,89.77,9,1
331,60,8,1
334,32.4744444444444,9,1
337,75.1433333333333,9,1
340,54.262,20,1
342,65.2825,4,1
346,42.145,16,1
347,90.7507142857143,28,1
351,52.6359090909091,22,1
352,77.9783333333333,6,1
356,47.74,3,1
358,60,5,1
362,132.98,1,1
365,87.56,1,1
368,62.5,1,1
369,48.475,2,1
371,37.895,2,1
373,36.3586956521739,23,1
375,25.9370833333333,24,1
376,77.3082352941177,51,1
377,181.65,1,1
380,21.2528571428571,7,1
381,60,2,1
383,60,2,1
384,27.9165,20,1
385,52.8984615384615,13,1
386,49.21,3,1
387,86.145,22,1
388,60.5166666666667,3,1
389,52.6131578947368,19,1
395,59.1611111111111,9,1
397,25.7,1,1
398,90.7311111111111,72,1
399,181.778888888889,9,1
406,37.9157894736842,19,1
410,105.216818181818,22,1
412,40.51,1,1
416,58.3222222222222,9,1
418,77.62,3,1
420,60.0233333333333,3,1
421,28.9735714285714,28,1
422,58.5045454545455,22,1
423,41.25,1,1
425,33.9926666666667,15,1
426,69.9972727272727,11,1
427,73.07,2,1
429,91.365,16,1
432,55.4586363636364,22,1
433,43.195,2,1
436,19.8,5,1
439,24.8009090909091,22,1
442,60,1,1
444,50.4088,25,1
447,61.7764705882353,17,1
448,60,1,1
452,55.1726086956522,23,1
454,50.655,2,1
456,60,5,1
457,47.0546428571429,56,1
458,99.15,2,1
460,61.1725,20,1
462,49.006,5,1
463,5.52,1,1
464,82.3975,36,1
465,65.94,4,1
468,49.7763636363636,11,1
471,89.8764285714286,14,1
472,78.5957894736842,19,1
475,60,1,1
478,66.03875,16,1
480,60,5,1
483,38.578275862069,29,1
484,39.52,3,1
487,60,1,1
488,2.06,1,1
489,54.62,1,1
490,23.64,1,1
492,60,1,1
493,71.8025,24,1
495,60,1,1
498,20.6111111111111,9,1
499,52.4845454545455,11,1
501,78.44,2,1
502,71.5497435897436,39,1
504,39.5519047619048,21,1
506,70.420625,16,1
508,60,1,1
509,82.1484210526316,19,1
512,35.68,18,1
516,60,1,1
519,106.665,6,1
520,64.2457142857143,14,1
521,93.77,3,1
522,78.61,39,1
528,60,1,1
530,58.120625,16,1
531,88.7915,20,1
532,68.1727272727273,11,1
535,70.65,3,1
537,45.925,6,1
538,31.0894736842105,19,1
540,109.29,1,1
542,60,1,1
545,57.9963636363636,11,1
549,47.27,2,1
550,64.9633333333333,12,1
551,60,1,1
552,75.4151851851852,27,1
554,62.2262068965517,29,1
555,60,2,1
558,80.46,1,1
563,86.5444,25,1
571,60,2,1
572,33.225,2,1
573,60,2,1
576,61.8014285714286,7,1
577,58.22,18,1
578,60,1,1
579,73.53,5,1
580,25.0925,12,1
581,42.4133333333333,9,1
582,48.3766666666667,9,1
584,46.68,2,1
585,42.265,24,1
590,77.4783870967742,31,1
591,11.14,1,1
592,82.5484615384615,26,1
593,116.4,1,1
598,79.3514285714286,7,1
599,54.1838888888889,18,1
600,82,6,1
602,34.435,2,1
606,101.714375,16,1
607,70.35,13,1
609,55.6133333333333,9,1
614,50.6355555555556,9,1
615,22.5425,4,1
616,59.17,3,1
622,60,1,1
629,6.59,1,1
630,92.344,5,1
634,68.96,1,1
640,46.73,1,1
641,92.8025,4,1
643,60,4,1
647,103.996296296296,27,1
648,46.2325,4,1
650,49.16,1,1
651,58.3429411764706,17,1
654,43.8973684210526,19,1
656,45.0875,24,1
657,36.422,10,1
660,61.534,5,1
661,103.68,22,1
664,38.3783333333333,18,1
666,48.9058333333333,12,1
671,19.78,1,1
673,63.3061538461538,13,1
674,6.81571428571429,7,1
677,41.09,1,1
680,43.0184615384615,13,1
682,55.2,4,1
683,90.38,1,1
688,45.83,1,1
689,60,1,1
691,57.203,20,1
692,82.8466666666667,21,1
694,109.55,4,1
695,43.556,15,1
696,66.8345454545454,44,1
697,68.09,24,1
699,60,2,1
701,60,1,1
703,84.0575,4,1
704,58.4014814814815,27,1
705,75.97,2,1
706,60.4966666666667,9,1
707,5.70166666666667,6,1
708,60,1,1
709,34.1957894736842,19,1
712,60,2,1
713,51.292,20,1
714,28.8944444444444,9,1
715,60,1,1
717,36.434347826087,23,1
718,22.876,15,1
720,60,1,1
722,60,5,1
723,60,1,1
724,41.1041176470588,17,1
730,60,1,1
732,56.674347826087,46,1
738,96.701,10,1
739,60.01,4,1
741,60,2,1
745,113.497142857143,7,1
746,44.0681818181818,11,1
749,60,1,1
750,96.755,2,1
751,62.365,4,1
752,86.5466666666667,21,1
754,50.7678571428571,14,1
755,45.511,10,1
757,52.5766666666667,15,1
758,69.4333333333333,12,1
759,27.4266666666667,12,1
760,57.4225,4,1
763,48.3083333333333,24,1
767,55.7,1,1
769,60,1,1
770,73.1333333333333,3,1
772,60,1,1
773,33.88,1,1
775,35.6547826086957,23,1
776,16.7525,24,1
782,28.936,10,1
784,117.123225806452,31,1
786,75.52,1,1
789,60,1,1
791,93.98,1,1
792,63.15,1,1
800,64.10125,8,1
804,91.6244444444444,18,1
805,60,1,1
806,56.2164285714286,14,1
808,49.4866666666667,9,1
809,66.7923076923077,13,1
812,35.8960869565217,23,1
814,65.8007692307692,26,1
815,79.9952941176471,34,1
821,60,1,1
823,97.5516279069767,43,1
827,78.4007142857143,14,1
828,110.992820512821,39,1
830,82.97,1,1
833,66.7442857142857,7,1
834,92.7825,24,1
836,66.7358333333333,12,1
839,68.2757142857143,14,1
841,83.5496153846154,26,1
844,2.67,1,1
848,46.5507142857143,28,1
849,85.0782352941176,17,1
854,50.4552941176471,17,1
855,53.13,1,1
859,36.6477777777778,18,1
860,58.95,1,1
861,72.9191666666667,12,1
864,25.4583333333333,12,1
865,104.926153846154,13,1
868,76.6766666666667,3,1
869,60,1,1
870,82.1664705882353,17,1
874,60.9833333333333,18,1
881,20.5254545454545,11,1
883,74.2333333333333,3,1
886,61.84,1,1
890,60,1,1
891,42.63125,8,1
895,55.6924137931034,29,1
896,90.042,5,1
898,25.058,10,1
900,60,1,1
901,45.2076923076923,13,1
903,58.781,10,1
905,60,1,1
906,56.3166666666667,3,1
907,68.3475,4,1
908,32.5857142857143,7,1
910,61.6058823529412,17,1
911,41.1213333333333,15,1
912,55.0427777777778,36,1
913,95.6757575757576,33,1
914,60,1,1
915,79.695,2,1
916,61.56,3,1
921,29.954,5,1
922,20.77,1,1
929,63.226,15,1
931,65.875,2,1
932,64.53,1,1
935,115.37,3,1
936,174.05,1,1
940,60,2,1
942,129.704285714286,35,1
943,37.0791666666667,12,1
950,65.2228571428571,7,1
951,76.5883333333333,12,1
953,60,1,1
956,53.6696,25,1
957,78.58,1,1
960,44.98,1,1
963,35.71,1,1
965,117.17,1,1
968,55.0391666666667,24,1
972,38.8221428571429,14,1
974,62.08,1,1
977,62.2866666666667,12,1
978,161.088333333333,6,1
981,119.035,2,1
982,78.53,1,1
983,77.185,10,1
984,60.87875,8,1
985,38.5306666666667,15,1
987,60,1,1
989,60,3,1
990,23.14,1,1
991,27.27,1,1
995,75.28,10,1
998,61.1438461538462,13,1
1000,36.8688235294118,34,1
1002,113.375,6,1
1003,44.9683333333333,24,1
1006,50.6866666666667,18,1
1009,118.9,2,1
1010,3.43,1,1
1013,60,3,1
1015,101.5125,4,1
1017,60,5,1
1024,60,3,1
1025,55.78,9,1
1028,14.254,5,1
1029,84.0997222222222,36,1
1030,97.9475,12,1
1032,40.86,1,1
1034,90.8317391304348,23,1
1036,100.682916666667,24,1
1039,108.014285714286,7,1
1044,97.14,2,1
1045,37.2556756756757,37,1
1048,23.24,1,1
1051,44.6207142857143,14,1
1054,51.2723076923077,13,1
1058,49.94375,8,1
1060,60,1,1
1063,48.895,4,1
1065,64.5332142857143,28,1
1066,52.66,2,1
1067,60,1,1
1072,75.3933333333333,6,1
1073,49.2075,4,1
1074,46.995,2,1
1077,68.6091666666667,12,1
1078,89.89,2,1
1079,12.2875,20,1
1082,34.4886666666667,15,1
1083,46.4686206896552,29,1
1090,60.9416666666667,6,1
1095,44.2959090909091,22,1
1098,60,1,1
1100,59.4410526315789,19,1
1102,71.5011111111111,18,1
1105,67.76,2,1
1106,65.4,2,1
1108,64.4088888888889,18,1
1110,41.74,6,1
1111,65.7271428571429,7,1
1113,41.6529411764706,17,1
1114,54.1716666666667,6,1
1115,60,1,1
1117,60,1,1
1119,80.605,2,1
1120,57.745,6,1
1121,56.87,1,1
1124,38.2975,4,1
1125,86.3464285714286,14,1
1131,22.4430769230769,13,1
1134,23.2695238095238,21,1
1135,60,1,1
1139,39.0335,20,1
1141,30.16,1,1
1142,74.345,2,1
1143,173.26,1,1
1144,58.41,3,1
1145,102.220625,16,1
1152,98.01,1,1
1153,79.2132142857143,28,1
1155,87.44125,8,1
1158,65.9267647058823,34,1
1159,32.535625,16,1
1161,61.4166666666667,6,1
1162,50.2784210526316,19,1
1163,112.845,2,1
1167,44.3945833333333,24,1
1168,60,3,1
1170,28.4551162790698,43,1
1171,65.69,1,1
1173,31.0591304347826,23,1
1174,65.5511111111111,27,1
1176,54.228,5,1
1180,60,1,1
1184,47.6888888888889,18,1
1187,66.8011764705882,17,1
1188,34.415,16,1
1189,77.02,10,1
1196,65.175,10,1
1198,62.792,35,1
1200,34.3104545454545,22,1
1203,70.1858333333333,12,1
1204,60,1,1
1206,125.655,2,1
1207,19.924,5,1
1208,49.67,2,1
1209,47.87,1,1
1210,96.77,1,1
1211,20.8909523809524,21,1
1214,102.67,1,1
1216,59.86,3,1
1218,55.3547826086957,23,1
1220,110.984,5,1
1221,60,1,1
1222,31.65,1,1
1224,48.7882352941176,17,1
1226,64.58,4,1
1227,60,1,1
1228,75.58,1,1
1232,54.3825,8,1
1235,58.12,4,1
1236,19.2133333333333,3,1
1237,60.8522222222222,9,1
1238,50.9342857142857,14,1
1246,85.6064705882353,17,1
1249,60,6,1
1251,44.8638888888889,18,1
1252,56.44,1,1
1254,71.5472727272727,11,1
1256,51.4555555555556,27,1
1259,68.58,1,1
1260,44.6684210526316,19,1
1267,60,1,1
1269,59.4779166666667,24,1
1270,39.2090909090909,11,1
1272,37.217,10,1
1275,7.14428571428571,7,1
1276,61.815,2,1
1277,52.115625,16,1
1281,60,1,1
1282,50.3329411764706,17,1
1283,121.816774193548,31,1
1287,58.4853846153846,13,1
1293,42.5968421052632,19,1
1296,70.6904545454545,22,1
1304,60.8209090909091,11,1
1305,60,1,1
1306,98.2014583333333,48,1
1307,9.11,1,1
1308,24.2595652173913,23,1
1311,58.0333333333333,9,1
1315,96.0334482758621,29,1
1319,60,1,1
1320,59.6918181818182,11,1
1323,58.265,6,1
1326,60,1,1
1328,69.99,1,1
1333,83.355,22,1
1334,27.1747619047619,21,1
1339,70.88,5,1
1342,60,4,1
1344,73.455,2,1
1345,60,1,1
1349,50.0188235294118,17,1
1350,54.79,22,1
1351,63.0755555555556,9,1
1352,62.74,1,1
1355,47.51,1,1
1356,60,2,1
1363,60,1,1
1364,69.14875,16,1
1367,7.92681818181818,22,1
1369,62.2342105263158,19,1
1370,60,1,1
1371,51.588,5,1
1373,52.406,5,1
1374,71.1293333333333,15,1
1378,55.2707692307692,26,1
1380,52.91,4,1
1384,41.066,5,1
1385,43.2972413793103,29,1
1387,41.525,4,1
1389,60,1,1
1392,30.808,20,1
1394,79.3275,28,1
1395,76.0708333333333,12,1
1398,43.5566666666667,21,1
1400,23.7895,20,1
1401,60,1,1
1406,86.21,1,1
1409,90.64,1,1
1411,74.4430769230769,26,1
1415,79.835,6,1
1417,110.91,4,1
1418,58.5675,20,1
1424,250.4,1,1
1425,96.58,1,1
1426,85.1866666666667,3,1
1428,85.9782142857143,28,1
1429,69.5069230769231,13,1
1430,46.123,10,1
1432,37.2053333333333,30,1
1433,35.3483333333333,18,1
1435,46.2483333333333,6,1
1438,48.6896153846154,26,1
1440,76.0420588235294,34,1
1441,21.06,1,1
1442,41.205,2,1
1443,60,1,1
1445,55.625,4,1
1448,110.925555555556,9,1
1450,129.681818181818,11,1
1453,60,1,1
1457,39.805,2,1
1458,64.1708333333333,12,1
1459,41.3952380952381,21,1
1462,90.9627272727273,22,1
1463,49.4046153846154,13,1
1469,32.76875,24,1
1472,69.68,8,1
1475,41.14,1,1
1478,66.08,1,1
1483,25.59,1,1
1484,76.61,6,1
1485,37.5433333333333,21,1
1488,60,8,1
1490,33.92,2,1
1492,30.21,1,1
1493,25.86,1,1
1494,24.7270833333333,24,1
1498,36.698,15,1
1500,56.1855,20,1
1501,63.731724137931,29,1
1502,29.7143333333333,30,1
1506,43.8841666666667,24,1
1507,72.5788235294118,17,1
1508,48.187037037037,27,1
1513,73.43,2,1
1514,60,1,1
1515,80.9278260869565,23,1
1516,88.8,1,1
1519,73.4651515151515,33,1
1520,111.865,2,1
1521,67.6442857142857,7,1
1522,79.8657142857143,7,1
1524,60,1,1
1525,71.58,2,1
1528,53.0145,20,1
1529,68.555,2,1
1532,34.733,10,1
1534,70.09,11,1
1535,54.0622222222222,18,1
1536,97.4518181818182,11,1
1537,49.5686666666667,30,1
1539,118.03,1,1
1541,58.6147368421053,19,1
1542,63.49,1,1
1543,72.82,2,1
1544,60,1,1
1548,62.85,1,1
1549,68.4275,8,1
1551,46.4854545454545,11,1
1556,77.96875,24,1
1557,55.2127272727273,22,1
1558,101.272727272727,11,1
1560,60,1,1
1562,101.84,2,1
1563,97.0790909090909,22,1
1564,83.1266666666667,12,1
1565,60,3,1
1566,81.8836842105263,19,1
1570,47.8978571428571,14,1
1573,52.0435,20,1
1574,51.9,7,1
1577,55.5766666666667,3,1
1581,60,1,1
1583,46.5486956521739,23,1
1584,60,1,1
1586,84.2925,4,1
1587,17.146875,16,1
1589,57.078,10,1
1591,23.6875,4,1
